filename,mask
image_1.h5,mask_1.h5
image_10.h5,mask_10.h5
image_100.h5,mask_100.h5
image_1000.h5,mask_1000.h5
image_1001.h5,mask_1001.h5
image_1002.h5,mask_1002.h5
image_1003.h5,mask_1003.h5
image_1004.h5,mask_1004.h5
image_1005.h5,mask_1005.h5
image_1006.h5,mask_1006.h5
image_1007.h5,mask_1007.h5
image_1008.h5,mask_1008.h5
image_1009.h5,mask_1009.h5
image_101.h5,mask_101.h5
image_1010.h5,mask_1010.h5
image_1011.h5,mask_1011.h5
image_1012.h5,mask_1012.h5
image_1013.h5,mask_1013.h5
image_1014.h5,mask_1014.h5
image_1015.h5,mask_1015.h5
image_1016.h5,mask_1016.h5
image_1017.h5,mask_1017.h5
image_1018.h5,mask_1018.h5
image_1019.h5,mask_1019.h5
image_102.h5,mask_102.h5
image_1020.h5,mask_1020.h5
image_1021.h5,mask_1021.h5
image_1022.h5,mask_1022.h5
image_1023.h5,mask_1023.h5
image_1024.h5,mask_1024.h5
image_1025.h5,mask_1025.h5
image_1026.h5,mask_1026.h5
image_1027.h5,mask_1027.h5
image_1028.h5,mask_1028.h5
image_1029.h5,mask_1029.h5
image_103.h5,mask_103.h5
image_1030.h5,mask_1030.h5
image_1031.h5,mask_1031.h5
image_1032.h5,mask_1032.h5
image_1033.h5,mask_1033.h5
image_1034.h5,mask_1034.h5
image_1035.h5,mask_1035.h5
image_1036.h5,mask_1036.h5
image_1037.h5,mask_1037.h5
image_1038.h5,mask_1038.h5
image_1039.h5,mask_1039.h5
image_104.h5,mask_104.h5
image_1040.h5,mask_1040.h5
image_1041.h5,mask_1041.h5
image_1042.h5,mask_1042.h5
image_1043.h5,mask_1043.h5
image_1044.h5,mask_1044.h5
image_1045.h5,mask_1045.h5
image_1046.h5,mask_1046.h5
image_1047.h5,mask_1047.h5
image_1048.h5,mask_1048.h5
image_1049.h5,mask_1049.h5
image_105.h5,mask_105.h5
image_1050.h5,mask_1050.h5
image_1051.h5,mask_1051.h5
image_1052.h5,mask_1052.h5
image_1053.h5,mask_1053.h5
image_1054.h5,mask_1054.h5
image_1055.h5,mask_1055.h5
image_1056.h5,mask_1056.h5
image_1057.h5,mask_1057.h5
image_1058.h5,mask_1058.h5
image_1059.h5,mask_1059.h5
image_106.h5,mask_106.h5
image_1060.h5,mask_1060.h5
image_1061.h5,mask_1061.h5
image_1062.h5,mask_1062.h5
image_1063.h5,mask_1063.h5
image_1064.h5,mask_1064.h5
image_1065.h5,mask_1065.h5
image_1066.h5,mask_1066.h5
image_1067.h5,mask_1067.h5
image_1068.h5,mask_1068.h5
image_1069.h5,mask_1069.h5
image_107.h5,mask_107.h5
image_1070.h5,mask_1070.h5
image_1071.h5,mask_1071.h5
image_1072.h5,mask_1072.h5
image_1073.h5,mask_1073.h5
image_1074.h5,mask_1074.h5
image_1075.h5,mask_1075.h5
image_1076.h5,mask_1076.h5
image_1077.h5,mask_1077.h5
image_1078.h5,mask_1078.h5
image_1079.h5,mask_1079.h5
image_108.h5,mask_108.h5
image_1080.h5,mask_1080.h5
image_1081.h5,mask_1081.h5
image_1082.h5,mask_1082.h5
image_1083.h5,mask_1083.h5
image_1084.h5,mask_1084.h5
image_1085.h5,mask_1085.h5
image_1086.h5,mask_1086.h5
image_1087.h5,mask_1087.h5
image_1088.h5,mask_1088.h5
image_1089.h5,mask_1089.h5
image_109.h5,mask_109.h5
image_1090.h5,mask_1090.h5
image_1091.h5,mask_1091.h5
image_1092.h5,mask_1092.h5
image_1093.h5,mask_1093.h5
image_1094.h5,mask_1094.h5
image_1095.h5,mask_1095.h5
image_1096.h5,mask_1096.h5
image_1097.h5,mask_1097.h5
image_1098.h5,mask_1098.h5
image_1099.h5,mask_1099.h5
image_11.h5,mask_11.h5
image_110.h5,mask_110.h5
image_1100.h5,mask_1100.h5
image_1101.h5,mask_1101.h5
image_1102.h5,mask_1102.h5
image_1103.h5,mask_1103.h5
image_1104.h5,mask_1104.h5
image_1105.h5,mask_1105.h5
image_1106.h5,mask_1106.h5
image_1107.h5,mask_1107.h5
image_1108.h5,mask_1108.h5
image_1109.h5,mask_1109.h5
image_111.h5,mask_111.h5
image_1110.h5,mask_1110.h5
image_1111.h5,mask_1111.h5
image_1112.h5,mask_1112.h5
image_1113.h5,mask_1113.h5
image_1114.h5,mask_1114.h5
image_1115.h5,mask_1115.h5
image_1116.h5,mask_1116.h5
image_1117.h5,mask_1117.h5
image_1118.h5,mask_1118.h5
image_1119.h5,mask_1119.h5
image_112.h5,mask_112.h5
image_1120.h5,mask_1120.h5
image_1121.h5,mask_1121.h5
image_1122.h5,mask_1122.h5
image_1123.h5,mask_1123.h5
image_1124.h5,mask_1124.h5
image_1125.h5,mask_1125.h5
image_1126.h5,mask_1126.h5
image_1127.h5,mask_1127.h5
image_1128.h5,mask_1128.h5
image_1129.h5,mask_1129.h5
image_113.h5,mask_113.h5
image_1130.h5,mask_1130.h5
image_1131.h5,mask_1131.h5
image_1132.h5,mask_1132.h5
image_1133.h5,mask_1133.h5
image_1134.h5,mask_1134.h5
image_1135.h5,mask_1135.h5
image_1136.h5,mask_1136.h5
image_1137.h5,mask_1137.h5
image_1138.h5,mask_1138.h5
image_1139.h5,mask_1139.h5
image_114.h5,mask_114.h5
image_1140.h5,mask_1140.h5
image_1141.h5,mask_1141.h5
image_1142.h5,mask_1142.h5
image_1143.h5,mask_1143.h5
image_1144.h5,mask_1144.h5
image_1145.h5,mask_1145.h5
image_1146.h5,mask_1146.h5
image_1147.h5,mask_1147.h5
image_1148.h5,mask_1148.h5
image_1149.h5,mask_1149.h5
image_115.h5,mask_115.h5
image_1150.h5,mask_1150.h5
image_1151.h5,mask_1151.h5
image_1152.h5,mask_1152.h5
image_1153.h5,mask_1153.h5
image_1154.h5,mask_1154.h5
image_1155.h5,mask_1155.h5
image_1156.h5,mask_1156.h5
image_1157.h5,mask_1157.h5
image_1158.h5,mask_1158.h5
image_1159.h5,mask_1159.h5
image_116.h5,mask_116.h5
image_1160.h5,mask_1160.h5
image_1161.h5,mask_1161.h5
image_1162.h5,mask_1162.h5
image_1163.h5,mask_1163.h5
image_1164.h5,mask_1164.h5
image_1165.h5,mask_1165.h5
image_1166.h5,mask_1166.h5
image_1167.h5,mask_1167.h5
image_1168.h5,mask_1168.h5
image_1169.h5,mask_1169.h5
image_117.h5,mask_117.h5
image_1170.h5,mask_1170.h5
image_1171.h5,mask_1171.h5
image_1172.h5,mask_1172.h5
image_1173.h5,mask_1173.h5
image_1174.h5,mask_1174.h5
image_1175.h5,mask_1175.h5
image_1176.h5,mask_1176.h5
image_1177.h5,mask_1177.h5
image_1178.h5,mask_1178.h5
image_1179.h5,mask_1179.h5
image_118.h5,mask_118.h5
image_1180.h5,mask_1180.h5
image_1181.h5,mask_1181.h5
image_1182.h5,mask_1182.h5
image_1183.h5,mask_1183.h5
image_1184.h5,mask_1184.h5
image_1185.h5,mask_1185.h5
image_1186.h5,mask_1186.h5
image_1187.h5,mask_1187.h5
image_1188.h5,mask_1188.h5
image_1189.h5,mask_1189.h5
image_119.h5,mask_119.h5
image_1190.h5,mask_1190.h5
image_1191.h5,mask_1191.h5
